A	B	Y	Z	u	coefficient
7	1	0	0	1	72227531167278696
6	2	0	0	1	1528610099900400
5	3	0	0	1	-56912729791968
7	0	1	0	1	253796529296082096
6	1	1	0	1	33673841228276352
5	2	1	0	1	-357448241690640
4	3	1	0	1	-8111631988800
6	0	2	0	1	126066470633191728
5	1	2	0	1	2555153181222912
4	2	2	0	1	-108193077279936
5	0	3	0	1	17463959254393344
4	1	3	0	1	-267549711418944
3	2	3	0	1	-6953799196800
4	0	4	0	1	717216311683584
3	1	4	0	1	-37661735635200
3	0	5	0	1	-23560675711488
2	1	5	0	1	-1285662067200
2	0	6	0	1	-1763193692160
7	0	0	1	1	-58575368957354496
6	1	0	1	1	-3232473901793568
5	2	0	1	1	263036354799168
6	0	1	1	1	-29144576606346432
5	1	1	1	1	961218032061024
4	2	1	1	1	35640275788800
5	0	2	1	1	-2427438419512416
4	1	2	1	1	247661686992384
4	0	3	1	1	145172675088000
3	1	3	1	1	14101468070400
3	0	4	1	1	23158243077120
2	0	5	1	1	734664038400
6	0	0	2	1	1654428054675888
5	1	0	2	1	-234851267517696
5	0	1	2	1	-268355258821728
4	1	1	2	1	-29207430489600
4	0	2	2	1	-75818779951104
3	0	3	2	1	-4163096217600
5	0	0	3	1	52577110347264
4	0	1	3	1	5932865606400
7	0	0	0	1	-19265585465895109848
6	1	0	0	1	-2340487561664074680
5	2	0	0	1	58533876131102352
4	3	0	0	1	2017231010222112
3	4	0	0	1	-10958116904928
6	0	1	0	1	-17812451283569721360
5	1	1	0	1	-249933983949524304
4	2	1	0	1	41516317674243504
3	3	1	0	1	256166165837088
2	4	1	0	1	-1614730334400
5	0	2	0	1	-3821375316621429648
4	1	2	0	1	149391863823261888
3	2	2	0	1	6332771155199616
2	3	2	0	1	8967662979840
4	0	3	0	1	-177948115103592576
3	1	3	0	1	30758527036670976
2	2	3	0	1	331856317225728
1	3	3	0	1	-765275040000
3	0	4	0	1	23334242459332608
2	1	4	0	1	2123280699501312
1	2	4	0	1	8191504028160
2	0	5	0	1	2428630338221568
1	1	5	0	1	51441175968768
1	0	6	0	1	52895810764800
6	0	0	1	1	2265446233870345728
5	1	0	1	1	-138142993692622896
4	2	0	1	1	-7507970302504464
3	3	0	1	1	176743044373824
5	0	1	1	1	370519621160772096
4	1	1	1	1	-89098815494825568
3	2	1	1	1	80759457965088
2	3	1	1	1	25257477542400
4	0	2	1	1	-85201745819217120
3	1	2	1	1	-10774472383495296
2	2	2	1	1	152382586331520
3	0	3	1	1	-19752770577633408
2	1	3	1	1	-272466688581504
1	2	3	1	1	11019960576000
2	0	4	1	1	-1324094791928832
1	1	4	1	1	4334517826560
1	0	5	1	1	-30150612135936
5	0	0	2	1	35361883166019912
4	1	0	2	1	7700231209612320
3	2	0	2	1	-329772535647552
4	0	1	2	1	30390858296453376
3	1	1	2	1	18239327217792
2	2	1	2	1	-44273711980800
3	0	2	2	1	3722974501768704
2	1	2	2	1	-116564653359360
2	0	3	2	1	111649342795776
1	1	3	2	1	-7346640384000
1	0	4	2	1	-293865615360
4	0	0	3	1	-2027028996620352
3	1	0	3	1	165812071113216
3	0	1	3	1	-54098709753600
2	1	1	3	1	20366519731200
2	0	2	3	1	18845493073920
1	0	3	3	1	1224440064000
3	0	0	4	1	-24683381434368
2	0	1	4	1	-2789002368000
6	0	0	0	1	794195784549880504992
5	1	0	0	1	3651935688628029144
4	2	0	0	1	-3286186350541182720
3	3	0	0	1	-32466692861804736
2	4	0	0	1	295126839644256
1	5	0	0	1	-602866670400
5	0	1	0	1	344863455117170292864
4	1	1	0	1	-23718290317560444672
3	2	1	0	1	-1225407397669911360
2	3	1	0	1	-2962819406877984
1	4	1	0	1	34149225238272
0	5	1	0	1	-91833004800
4	0	2	0	1	17110211484755810448
3	1	2	0	1	-7791342703377111936
2	2	2	0	1	-137197748793920256
1	3	2	0	1	200712664171008
0	4	2	0	1	2485613329920
3	0	3	0	1	-7759387790341077312
2	1	3	0	1	-877576301623531008
1	2	3	0	1	-6943263910416000
0	3	3	0	1	-260805733632
2	0	4	0	1	-1091784345012486144
1	1	4	0	1	-39741008326214400
0	2	4	0	1	-144559842835968
1	0	5	0	1	-44030274521329152
0	1	5	0	1	-482343674411520
0	0	6	0	1	-396718580736000
5	0	0	1	1	-16317399313460402928
4	1	0	1	1	6821265640835400624
3	2	0	1	1	-8644743986690304
2	3	0	1	1	-4849076723128704
1	4	0	1	1	17587210847040
4	0	1	1	1	13893657159531731904
3	1	1	1	1	2001972084843327552
2	2	1	1	1	-47529128074984992
1	3	1	1	1	-533834338166208
0	4	1	1	1	2601935136000
3	0	2	1	1	5179888848989850048
2	1	2	1	1	114596030051755776
1	2	2	1	1	-7016361145576704
0	3	2	1	1	-36078126485760
2	0	3	1	1	574434922804318080
1	1	3	1	1	-1193847429000960
0	2	3	1	1	-204673727778048
1	0	4	1	1	24791164509404160
0	1	4	1	1	-53380689030144
0	0	5	1	1	286959773399040
4	0	0	2	1	-2459420615103889752
3	1	0	2	1	-15391483430174208
2	2	0	2	1	9294376019570784
1	3	0	2	1	-136764173070720
3	0	1	2	1	-770495642245474560
2	1	1	2	1	40008408587921088
1	2	1	2	1	744410581309440
0	3	1	2	1	-19591041024000
2	0	2	2	1	-51715440747583488
1	1	2	2	1	5526153916805376
0	2	2	2	1	28247832276480
1	0	3	2	1	-544430132296704
0	1	3	2	1	158643352452096
0	0	4	2	1	176319369216
3	0	0	3	1	15710924537371008
2	1	0	3	1	-5072444283473856
1	2	0	3	1	125781966063360
2	0	1	3	1	-6710905592790912
1	1	1	3	1	-377052440721408
0	2	1	3	1	16529940864000
1	0	2	3	1	-982116028694016
0	1	2	3	1	-10603650954240
0	0	3	3	1	-27300115666944
2	0	0	4	1	801121339166976
1	1	0	4	1	-40335776686080
1	0	1	4	1	57338895610368
0	1	1	4	1	-4897760256000
0	0	2	4	1	1567283281920
1	0	0	5	1	4331796848640
0	0	1	5	1	489776025600
5	0	0	0	1	-11074871235126194279316
4	1	0	0	1	1142587254066014931192
3	2	0	0	1	66253452338458168560
2	3	0	0	1	222871831704180864
1	4	0	0	1	-3815880371156448
0	5	0	0	1	9928066148928
4	0	1	0	1	-532774916308264236048
3	1	1	0	1	784713488170877053776
2	2	1	0	1	17648086885958369088
1	3	1	0	1	-16235100441294048
0	4	1	0	1	-564709614746688
3	0	2	0	1	1155535716685168564848
2	1	2	0	1	148730353456301801856
1	2	2	0	1	1616718618745785216
0	3	2	0	1	-82781943846912
2	0	3	0	1	227900932911854746560
1	1	3	0	1	10779840941159977344
0	2	3	0	1	58857862895509248
1	0	4	0	1	14005880716046031360
0	1	4	0	1	243937593851242752
0	0	5	0	1	237953788318356480
4	0	0	1	1	-679496546747184227280
3	1	0	1	1	-107243398183147028352
2	2	0	1	1	3166170556486177440
1	3	0	1	1	60669249630258240
0	4	0	1	1	-287671479186240
3	0	1	1	1	-535063432710549150720
2	1	1	1	1	-15450914409996053376
1	2	1	1	1	1095935414014502496
0	3	1	1	1	8245611116258112
2	0	2	1	1	-100727797070818835136
1	1	2	1	1	20861396978179968
0	2	2	1	1	64993264516059264
1	0	3	1	1	-7005574866938038272
0	1	3	1	1	18564693934654080
0	0	4	1	1	-150979586989280256
3	0	0	2	1	44296310718311209488
2	1	0	2	1	-2783869212474893952
1	2	0	2	1	-98876601778140288
0	3	0	2	1	2233147257563904
2	0	1	2	1	7409970646468796160
1	1	1	2	1	-950334698709764352
0	2	1	2	1	-8352744417987840
1	0	2	2	1	208133444400883200
0	1	2	2	1	-54157045252723200
0	0	3	2	1	789866694245376
2	0	0	3	1	443073714300126720
1	1	0	3	1	58386103893230976
0	2	0	3	1	-2079303097942656
1	0	1	3	1	181036077641936640
0	1	1	3	1	3821711307796224
0	0	2	3	1	9998564510052864
1	0	0	4	1	-9823374686795904
0	1	0	4	1	658380197972736
0	0	1	4	1	-590736006637056
0	0	0	5	1	-71659130305536
4	0	0	0	1	-2767167916199621538948
3	1	0	0	1	-27532790630290829967336
2	2	0	0	1	-724490237683905694128
1	3	0	0	1	312944571825708960
0	4	0	0	1	31495723676288352
3	0	1	0	1	-79826060939996325219120
2	1	1	0	1	-11258580079632589443648
1	2	1	0	1	-147966971812282189872
0	3	1	0	1	16187866135275168
2	0	2	0	1	-24483622421751115530672
1	1	2	0	1	-1362159867021772498560
0	2	2	0	1	-8989746707001888576
1	0	3	0	1	-2254008465784852581888
0	1	3	0	1	-49200585603003543744
0	0	4	0	1	-59253819181492363776
3	0	0	1	1	19105909159177790617248
2	1	0	1	1	669609674768606659200
1	2	0	1	1	-49978032972489156672
0	3	0	1	1	-467539591613248512
2	0	1	1	1	7818927321073299242688
1	1	1	1	1	14771523116686517856
0	2	1	1	1	-6817694141635385184
1	0	2	1	1	912319598685146244768
0	1	2	1	1	-2378879131980252672
0	0	3	1	1	31442928665102940672
2	0	0	2	1	-332414191331269334208
1	1	0	2	1	46629783815653176192
0	2	0	2	1	584299262817060192
1	0	1	2	1	-24103787422588866720
0	1	1	2	1	6113280567693265344
0	0	2	2	1	-183486310776207360
1	0	0	3	1	-9355663288487295360
0	1	0	3	1	-322768526437930176
0	0	1	3	1	-1223747441723417472
