RESIDUE TABLE  d mod 165 = lcm(3,5,11)
cols: d165 | d3 d5 d11 | C11 branch (#def/4) | C5 exact (#def/8) | C5 D10 (#def/2) | C3 (#def/8) | collapsed count | verdict
109 | 1 4 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
110 | 2 0  0 | nonQR 2/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
111 | 0 1  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
112 | 1 2  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
113 | 2 3  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
114 | 0 4  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
115 | 1 0  5 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
116 | 2 1  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
117 | 0 2  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
118 | 1 3  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
119 | 2 4  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
120 | 0 0 10 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
121 | 1 1  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
122 | 2 2  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
123 | 0 3  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
124 | 1 4  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
125 | 2 0  4 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
126 | 0 1  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
127 | 1 2  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
128 | 2 3  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
129 | 0 4  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
130 | 1 0  9 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
131 | 2 1 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
132 | 0 2  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
133 | 1 3  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
134 | 2 4  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
135 | 0 0  3 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
136 | 1 1  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
137 | 2 2  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
138 | 0 3  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
139 | 1 4  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
140 | 2 0  8 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
141 | 0 1  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
142 | 1 2 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
143 | 2 3  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
144 | 0 4  1 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
145 | 1 0  2 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
146 | 2 1  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
147 | 0 2  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
148 | 1 3  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
149 | 2 4  6 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
150 | 0 0  7 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
151 | 1 1  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
152 | 2 2  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
153 | 0 3 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
154 | 1 4  0 | nonQR 2/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
155 | 2 0  1 | QR    4/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
156 | 0 1  2 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
157 | 1 2  3 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
158 | 2 3  4 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
159 | 0 4  5 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
160 | 1 0  6 | nonQR 3/4 | Bs    8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
161 | 2 1  7 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
162 | 0 2  8 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
163 | 1 3  9 | QR    4/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
164 | 2 4 10 | nonQR 3/4 | def   8/8 | 2/2 | 8/8 |  6561 | CONSISTENT
