A	u	Z	coefficient
0	3	6	-3763360616546304
0	3	5	-190256164102121158656
0	3	4	-3478178358644667623424
0	3	3	-3106974496193174135490048
0	3	2	-205243948650729652272430272
0	3	1	-4148536083931760539015704168
0	3	0	-23017432798506514759875565884
0	2	6	39740269988855808
0	2	5	-871347983265871386624
0	2	4	-10586903572294128377856
0	2	3	-4036668424405322442607872
0	2	2	-287323127266303658593692288
0	2	1	-5619071179543119629571976824
0	2	0	-30212748860258086123812370956
0	1	6	137608099065888768
0	1	5	-1667986134461824204800
0	1	4	-29601625498463270909952
0	1	3	-3148344311964358445019648
0	1	2	-222517354124935667750451840
0	1	1	-4259617119257034771725920992
0	1	0	-22438004130901668889094711328
0	0	6	124707339778461696
0	0	5	-1170003042112291080192
0	0	4	-24916535694483929646336
0	0	3	-1201741143159661984788480
0	0	2	-74349263922698049660015696
0	0	1	-1389438602465673763111424184
0	0	0	-7210326119505932416856325111
