A	u	Z	coefficient
3	9	2	-4944374041507686144
3	9	1	-1111363251780926057400
3	9	0	6409514460383846337096
3	8	4	-1338802765977600
3	8	3	2224605184764258528
3	8	2	-44662571220598320096
3	8	1	-7511883712771990149432
3	8	0	-42990509247286109091912
3	7	4	40363387537425408
3	7	3	-2232234027716917248
3	7	2	-8152606734576344138304
3	7	1	-737491523211040763093760
3	7	0	1223831590768675982405952
3	6	5	2350924922880
3	6	4	739494100181154816
3	6	3	-483359769929693222784
3	6	2	-123956808961201297620192
3	6	1	-7933688322157026616432032
3	6	0	50950755448693080310549512
3	5	5	63083152097280
3	5	4	-6869639311368611328
3	5	3	-7943159323544513156352
3	5	2	-1158123921827818747540320
3	5	1	-33799464783784238098671936
3	5	0	568219941409747116593479680
3	4	5	-4272806047334400
3	4	4	-131675772214386717696
3	4	3	-63013270742448655332096
3	4	2	-7501485666435098426193024
3	4	1	-80947932078629287586902176
3	4	0	2991880778846617252460394072
3	3	5	-48393789537484800
3	3	4	-937875402881223293952
3	3	3	-270803896944886683509760
3	3	2	-28378148740550913077682048
3	3	1	-160840110096921376111451904
3	3	0	8598092278166121651356880900
3	2	5	-201388065310310400
3	2	4	-2797788601787144435712
3	2	3	-675596585343263298614784
3	2	2	-58442843606492808271179648
3	2	1	-297708886117058618587726080
3	2	0	14086175124374093934143925480
3	1	5	-370591576605573120
3	1	4	-3593290340429481811968
3	1	3	-924710381989291310031360
3	1	2	-60395516926133639557713408
3	1	1	-349451742903792586171863840
3	1	0	12674908780387902044967182976
3	0	5	-259498619374878720
3	0	4	-1446219734706711410688
3	0	3	-542932539581666030132736
3	0	2	-23993235376294079164824576
3	0	1	-166962135916633853086945056
3	0	0	5015660777806184329595329512
2	12	4	175707149184
2	12	3	-267888813292224
2	12	2	62558333974543392
2	12	1	1915126783304361264
2	12	0	8649873262236945024
2	11	4	-10477533627648
2	11	3	11739576092958432
2	11	2	-1374599536033803840
2	11	1	-156814082354859260040
2	11	0	-1004639018864295999096
2	10	4	154528621617024
2	10	3	-56509075538870976
2	10	2	-11950532085677736384
2	10	1	958172346559475670384
2	10	0	7372433072220408768312
2	9	4	-146566700100864
2	9	3	-1545925907892570912
2	9	2	-77480730137240341344
2	9	1	4934799972064547629560
2	9	0	24121748611333170604224
2	8	5	-538753628160
2	8	4	49170800835498240
2	8	3	-10253540491231684896
2	8	2	330394625947552428720
2	8	1	38694669900111801637848
2	8	0	314768023964573243163948
