row	column	A	B	Y	Z	u	coefficient
0	0	4	1	0	0	0	-137043930591826476329500674041939871744000000
0	0	4	0	5	1	0	-23838574401470820777984000000000
0	0	4	0	5	0	0	-45140453593734220420408934400000000
0	0	4	0	4	2	0	5417857818516095631360000000000
0	0	4	0	4	1	0	65566622755359589461554626560000000
0	0	4	0	4	0	0	48123755519400828120405312110592000000
0	0	4	0	3	2	0	-17118888422985191279874539520000000
0	0	4	0	3	1	0	-47744792362033515072541446045696000000
0	0	4	0	3	0	0	-18098004752344868924158502447038464000000
0	0	4	0	2	3	0	950350453173922050323251200000000
0	0	4	0	2	2	0	11583470253930987427455882461184000000
0	0	4	0	2	1	0	13269258586487103049108314851254272000000
0	0	4	0	2	0	0	3106511547291552753034425016308744192000000
0	0	4	0	1	4	0	75699513408711002849280000000000
0	0	4	0	1	3	0	-786200847271922587295828606976000000
0	0	4	0	1	2	0	-2504494192315782632363921844338688000000
0	0	4	0	1	1	0	-1525300242026309505329000958006681600000000
0	0	4	0	1	0	0	-249264970194279639265912479888206880768000000
0	0	4	0	0	4	0	-30063320105732640133834014720000000
0	0	4	0	0	3	0	135117045283663602209110386991104000000
0	0	4	0	0	2	0	156468234074640947274838527222829056000000
0	0	4	0	0	1	0	61456731659684947829784594468674654208000000
0	0	4	0	0	0	0	7597885993253134886368798485974931796992000000
0	0	3	5	0	0	2	-2031696681943535861760000000000
0	0	3	5	0	0	1	75758081455036165271961600000000
0	0	3	5	0	0	0	958721733277094275446988800000000
0	0	3	4	2	0	0	-2934672985029551800320000000000
0	0	3	4	1	0	2	-21265091937675675353088000000000
0	0	3	4	1	0	1	-739267075576647534739046400000000
0	0	3	4	1	0	0	6952257909572918392268881920000000
0	0	3	4	0	1	2	-1354464454629023907840000000000
0	0	3	4	0	1	1	-63319535850010509988300800000000
0	0	3	4	0	1	0	-1395373419800209574096486400000000
0	0	3	4	0	0	2	10511104685835799392967065600000000
0	0	3	4	0	0	1	220024552600352438621353009152000000
0	0	3	4	0	0	0	-1061858584502901889363991789568000000
0	0	3	3	3	0	1	-41480473923013857177600000000000
0	0	3	3	3	0	0	-298343370539619666100224000000000
0	0	3	3	2	1	0	-120265156367268747816960000000000
0	0	3	3	2	0	2	730191787490506788716544000000000
0	0	3	3	2	0	1	71205053755847567007282462720000000
0	0	3	3	2	0	0	505032038068957250479569469440000000
0	0	3	3	1	1	2	-1456049288726200700928000000000
0	0	3	3	1	1	1	3022376815907538813392486400000000
0	0	3	3	1	1	0	135317143996926064503181885440000000
0	0	3	3	1	0	2	-518544710481795971448624906240000000
0	0	3	3	1	0	1	-26282058597342258389793262596096000000
0	0	3	3	1	0	0	-164156723602825964564283562229760000000
0	0	3	3	0	2	2	169308056828627988480000000000
0	0	3	3	0	2	1	46472616038637524877926400000000
0	0	3	3	0	2	0	498166100630565991323955200000000
0	0	3	3	0	1	2	-804009423035561277181870080000000
0	0	3	3	0	1	1	-1136704644879213072855849744384000000
0	0	3	3	0	1	0	-24194874139942992979396864942080000000
0	0	3	3	0	0	2	74903119838966377364597296275456000000
0	0	3	3	0	0	1	2597293703898723592944039031303680000000
0	0	3	3	0	0	0	14109685819076002271648275068171264000000
0	0	3	2	4	0	1	-65623802826776208334848000000000
0	0	3	2	4	0	0	-3529544743739588240483942400000000
