F_odd(d mod 330)  shared-mu enumeration of the 22 immune rows
profile: min=2265760 max=58798784 typical=2492336  F_odd(35)=36252160
sharing-off A4 block target: 3^8 = 6561

    d   d6   d3   d5  d11        F_odd        F_off      H_imm_D10
  186    0    0    1   10      3340840         6561       38419660
  187    1    1    2    0      2492336         6561       28661864
  188    2    2    3    1      2492336         6561       28661864
  189    3    0    4    2      3340840         6561       38419660
  190    4    1    0    3     39877376         6561      458589824
  191    5    2    1    4      2492336         6561       28661864
  192    0    0    2    5      3674924         6561       42261626
  193    1    1    3    6      2265760         6561       26056240
  194    2    2    4    7      2265760         6561       26056240
  195    3    0    0    8     53453440         6561      614714560
  196    4    1    1    9      2492336         6561       28661864
  197    5    2    2   10      2265760         6561       26056240
  198    0    0    3    0      3674924         6561       42261626
  199    1    1    4    1      2492336         6561       28661864
  200    2    2    0    2     36252160         6561      416899840
  201    3    0    1    3      3674924         6561       42261626
  202    4    1    2    4      2492336         6561       28661864
  203    5    2    3    5      2492336         6561       28661864
  204    0    0    4    6      3340840         6561       38419660
  205    1    1    0    7     36252160         6561      416899840
  206    2    2    1    8      2265760         6561       26056240
  207    3    0    2    9      3674924         6561       42261626
  208    4    1    3   10      2265760         6561       26056240
  209    5    2    4    0      2492336         6561       28661864
  210    0    0    0    1     58798784         6561      676186016
  211    1    1    1    2      2265760         6561       26056240
  212    2    2    2    3      2492336         6561       28661864
  213    3    0    3    4      3674924         6561       42261626
  214    4    1    4    5      2492336         6561       28661864
  215    5    2    0    6     36252160         6561      416899840
  216    0    0    1    7      3340840         6561       38419660
  217    1    1    2    8      2265760         6561       26056240
  218    2    2    3    9      2492336         6561       28661864
  219    3    0    4   10      3340840         6561       38419660
  220    4    1    0    0     39877376         6561      458589824
  221    5    2    1    1      2492336         6561       28661864
  222    0    0    2    2      3340840         6561       38419660
  223    1    1    3    3      2492336         6561       28661864
  224    2    2    4    4      2492336         6561       28661864
  225    3    0    0    5     58798784         6561      676186016
  226    4    1    1    6      2265760         6561       26056240
  227    5    2    2    7      2265760         6561       26056240
  228    0    0    3    8      3340840         6561       38419660
  229    1    1    4    9      2492336         6561       28661864
  230    2    2    0   10     36252160         6561      416899840
  231    3    0    1    0      3674924         6561       42261626
  232    4    1    2    1      2492336         6561       28661864
  233    5    2    3    2      2265760         6561       26056240
  234    0    0    4    3      3674924         6561       42261626
  235    1    1    0    4     39877376         6561      458589824
  236    2    2    1    5      2492336         6561       28661864
  237    3    0    2    6      3340840         6561       38419660
  238    4    1    3    7      2265760         6561       26056240
  239    5    2    4    8      2265760         6561       26056240
  240    0    0    0    9     58798784         6561      676186016
  241    1    1    1   10      2265760         6561       26056240
  242    2    2    2    0      2492336         6561       28661864
  243    3    0    3    1      3674924         6561       42261626
  244    4    1    4    2      2265760         6561       26056240
  245    5    2    0    3     39877376         6561      458589824
  246    0    0    1    4      3674924         6561       42261626
  247    1    1    2    5      2492336         6561       28661864
  248    2    2    3    6      2265760         6561       26056240
  249    3    0    4    7      3340840         6561       38419660
  250    4    1    0    8     36252160         6561      416899840
  251    5    2    1    9      2492336         6561       28661864
  252    0    0    2   10      3340840         6561       38419660
  253    1    1    3    0      2492336         6561       28661864
  254    2    2    4    1      2492336         6561       28661864
  255    3    0    0    2     53453440         6561      614714560
  256    4    1    1    3      2492336         6561       28661864
  257    5    2    2    4      2492336         6561       28661864
  258    0    0    3    5      3674924         6561       42261626
  259    1    1    4    6      2265760         6561       26056240
  260    2    2    0    7     36252160         6561      416899840
  261    3    0    1    8      3340840         6561       38419660
  262    4    1    2    9      2492336         6561       28661864
  263    5    2    3   10      2265760         6561       26056240
  264    0    0    4    0      3674924         6561       42261626
  265    1    1    0    1     39877376         6561      458589824
  266    2    2    1    2      2265760         6561       26056240
  267    3    0    2    3      3674924         6561       42261626
  268    4    1    3    4      2492336         6561       28661864
  269    5    2    4    5      2492336         6561       28661864
  270    0    0    0    6     53453440         6561      614714560
  271    1    1    1    7      2265760         6561       26056240
  272    2    2    2    8      2265760         6561       26056240
  273    3    0    3    9      3674924         6561       42261626
  274    4    1    4   10      2265760         6561       26056240
  275    5    2    0    0     39877376         6561      458589824
  276    0    0    1    1      3674924         6561       42261626
  277    1    1    2    2      2265760         6561       26056240
  278    2    2    3    3      2492336         6561       28661864
  279    3    0    4    4      3674924         6561       42261626
  280    4    1    0    5     39877376         6561      458589824
  281    5    2    1    6      2265760         6561       26056240
  282    0    0    2    7      3340840         6561       38419660
  283    1    1    3    8      2265760         6561       26056240
  284    2    2    4    9      2492336         6561       28661864
  285    3    0    0   10     53453440         6561      614714560
  286    4    1    1    0      2492336         6561       28661864
  287    5    2    2    1      2492336         6561       28661864
  288    0    0    3    2      3340840         6561       38419660
  289    1    1    4    3      2492336         6561       28661864
  290    2    2    0    4     39877376         6561      458589824
  291    3    0    1    5      3674924         6561       42261626
  292    4    1    2    6      2265760         6561       26056240
  293    5    2    3    7      2265760         6561       26056240
  294    0    0    4    8      3340840         6561       38419660
  295    1    1    0    9     39877376         6561      458589824
  296    2    2    1   10      2265760         6561       26056240
  297    3    0    2    0      3674924         6561       42261626
  298    4    1    3    1      2492336         6561       28661864
  299    5    2    4    2      2265760         6561       26056240
  300    0    0    0    3     58798784         6561      676186016
  301    1    1    1    4      2492336         6561       28661864
  302    2    2    2    5      2492336         6561       28661864
  303    3    0    3    6      3340840         6561       38419660
  304    4    1    4    7      2265760         6561       26056240
  305    5    2    0    8     36252160         6561      416899840
  306    0    0    1    9      3674924         6561       42261626
  307    1    1    2   10      2265760         6561       26056240
  308    2    2    3    0      2492336         6561       28661864
  309    3    0    4    1      3674924         6561       42261626
  310    4    1    0    2     36252160         6561      416899840
  311    5    2    1    3      2492336         6561       28661864
  312    0    0    2    4      3674924         6561       42261626
  313    1    1    3    5      2492336         6561       28661864
  314    2    2    4    6      2265760         6561       26056240
  315    3    0    0    7     53453440         6561      614714560
  316    4    1    1    8      2265760         6561       26056240
  317    5    2    2    9      2492336         6561       28661864
  318    0    0    3   10      3340840         6561       38419660
  319    1    1    4    0      2492336         6561       28661864
  320    2    2    0    1     39877376         6561      458589824
  321    3    0    1    2      3340840         6561       38419660
  322    4    1    2    3      2492336         6561       28661864
  323    5    2    3    4      2492336         6561       28661864
  324    0    0    4    5      3674924         6561       42261626
  325    1    1    0    6     36252160         6561      416899840
  326    2    2    1    7      2265760         6561       26056240
  327    3    0    2    8      3340840         6561       38419660
  328    4    1    3    9      2492336         6561       28661864
  329    5    2    4   10      2265760         6561       26056240
