# FIX-VII-GATE candidate 6, p=67: degree-34 G-equivariant tuple
# (1,6)-profile along the arrangement AND vanishing on the Hessian curve C_20
# format: <component 0..4> <e0 e1 e2 e3 e4> <coefficient>
0 17 4 2 8 3 5
0 17 4 1 3 9 66
0 17 4 0 9 4 39
0 17 3 14 0 0 50
0 17 3 10 2 2 54
0 17 3 8 3 3 15
0 17 3 6 4 4 54
0 17 3 4 5 5 8
0 17 3 3 11 0 51
0 17 3 3 0 11 23
0 17 3 2 6 6 60
0 17 3 1 12 1 18
0 17 3 1 1 12 10
0 17 3 0 7 7 10
0 17 2 10 0 5 57
0 17 2 9 6 0 5
0 17 2 8 1 6 58
0 17 2 7 7 1 54
0 17 2 6 2 7 36
0 17 2 5 8 2 51
0 17 2 4 3 8 44
0 17 2 3 9 3 58
0 17 2 2 4 9 25
0 17 2 1 10 4 19
0 17 2 0 5 10 25
0 17 1 15 1 0 19
0 17 1 13 2 1 45
0 17 1 11 3 2 51
0 17 1 9 4 3 34
0 17 1 7 5 4 5
0 17 1 6 0 10 58
0 17 1 5 6 5 37
0 17 1 4 12 0 32
0 17 1 4 1 11 24
0 17 1 3 7 6 23
0 17 1 2 13 1 14
0 17 1 2 2 12 4
0 17 1 1 8 7 22
0 17 1 0 14 2 31
0 17 1 0 3 13 65
0 17 0 13 0 4 35
0 17 0 11 1 5 14
0 17 0 10 7 0 17
0 17 0 9 2 6 45
0 17 0 8 8 1 20
0 17 0 7 3 7 29
0 17 0 6 9 2 11
0 17 0 5 4 8 22
0 17 0 4 10 3 39
0 17 0 3 5 9 5
0 17 0 2 11 4 61
0 17 0 2 0 15 16
0 17 0 1 6 10 44
0 17 0 0 12 5 8
0 17 0 0 1 16 18
0 16 16 0 2 0 59
0 16 15 0 0 3 7
0 16 14 1 3 0 12
0 16 13 3 0 2 22
0 16 13 1 1 3 10
0 16 12 2 4 0 51
0 16 12 0 5 1 43
0 16 11 6 0 1 56
0 16 11 4 1 2 26
0 16 11 2 2 3 58
0 16 11 0 3 4 50
0 16 10 3 5 0 45
0 16 10 2 0 6 22
0 16 10 1 6 1 45
0 16 10 0 1 7 15
0 16 9 9 0 0 31
0 16 9 7 1 1 51
0 16 9 5 2 2 10
0 16 9 3 3 3 44
0 16 9 1 4 4 62
0 16 8 5 0 5 26
0 16 8 4 6 0 62
0 16 8 3 1 6 55
0 16 8 2 7 1 48
0 16 8 1 2 7 11
0 16 8 0 8 2 19
0 16 7 10 1 0 60
0 16 7 8 2 1 3
0 16 7 6 3 2 56
0 16 7 4 4 3 17
0 16 7 2 5 4 44
