A	B	Y	Z	coefficient
1	3	0	2	-3956895919172160
1	3	0	1	-5908680968435021952
1	3	0	0	-145990169312745400452
1	2	6	0	132239526912
1	2	5	0	-101956675249152
1	2	4	1	40068576654336
1	2	4	0	51042953163413376
1	2	3	2	17587857079296
1	2	3	1	-21519205974862848
1	2	3	0	-11487118209580956528
1	2	2	3	-5877312307200
1	2	2	2	-9397172201538816
1	2	2	1	3240391143928912704
1	2	2	0	1234721143361499829560
1	2	1	3	1627075139125248
1	2	1	2	1317559980408285312
1	2	1	1	-180202371759286322688
1	2	1	0	-63205176709425815124372
1	2	0	4	190424918753280
1	2	0	3	-84258861003228672
1	2	0	2	-54753368535029231136
1	2	0	1	3029251173878966726376
1	2	0	0	1244152912947856869302928
1	1	7	0	-19042491875328
1	1	6	1	2115832430592
1	1	6	0	20004137715032064
1	1	5	1	-3373694810578944
1	1	5	0	-6964167761792299008
1	1	4	2	749004680429568
1	1	4	1	1304837959371420672
1	1	4	0	1199455002379399912704
1	1	3	3	3879026122752
1	1	3	2	-417894625138526208
1	1	3	1	-233514648730915027200
1	1	3	0	-115613714413906432995456
1	1	2	4	-23509249228800
1	1	2	3	-4730472356696064
1	1	2	2	75419027429286311424
1	1	2	1	22074560981785322772480
1	1	2	0	6364909437651245264097024
1	1	1	4	8564889679036416
1	1	1	3	1550916345863960064
1	1	1	2	-5570067835225283399424
1	1	1	1	-1071903635947580950738224
1	1	1	0	-187180504252022501580360600
1	1	0	5	609359740010496
1	1	0	4	-583504796666769408
1	1	0	3	-105664624903211480064
1	1	0	2	145923839195167286561664
1	1	0	1	21086316976348521200910672
1	1	0	0	2279126837945234052062926668
1	0	8	0	837869642514432
1	0	7	1	-152339935002624
1	0	7	0	-501407853569261568
1	0	6	2	8463329722368
1	0	6	1	164717554721587200
1	0	6	0	128164577527285088256
1	0	5	2	-8124796533473280
1	0	5	1	-63258196363999911936
1	0	5	0	-18117160847182197642240
1	0	4	3	1997345814478848
1	0	4	2	2610568535549497344
1	0	4	1	12336247598842221520896
1	0	4	0	1526041273690285186116096
1	0	3	4	-172087704354816
1	0	3	3	-877649408041992192
1	0	3	2	-413180226628565824512
1	0	3	1	-1368962606162348703581184
1	0	3	0	-76178658530931469727018112
1	0	2	5	-37614798766080
1	0	2	4	105222462605770752
1	0	2	3	143190617495022968832
1	0	2	2	35576045595273778007040
1	0	2	1	88013724188424214287302784
1	0	2	0	2051798692773323225247334848
1	0	1	5	16994366082514944
1	0	1	4	-13728746405616316416
1	0	1	3	-10204302319449671218176
1	0	1	2	-1609126506709928390102976
1	0	1	1	-3066443747102771031531955968
1	0	1	0	-20897688595207980927391773732
1	0	0	6	812479653347328
1	0	0	5	-1385645963800117248
1	0	0	4	492243931660547902464
1	0	0	3	266908509000665194987008
1	0	0	2	30058764350001017025846528
1	0	0	1	44943321501893379259947084840
1	0	0	0	-84563400319697537315091803430
0	6	0	0	-7748409780
0	5	2	0	18596183472
0	5	1	0	-2398907667888
0	5	0	1	-371923669440
0	5	0	0	73180631008188
0	4	4	0	2066242608
0	4	3	0	-2417503851360
0	4	2	1	743847338880
0	4	2	0	510716284783272
0	4	1	1	-105998245790400
0	4	1	0	-39953611948748184
0	4	0	2	-7438473388800
0	4	0	1	3514678676208000
0	4	0	0	1085672412421178607
0	3	5	0	-198359290368
0	3	4	1	66119763456
0	3	4	0	87922755455616
0	3	3	1	-54598394673792
0	3	3	0	-14834621864017728
0	3	2	2	11901557422080
0	3	2	1	11721620750804928
0	3	2	0	1182925611160728552
0	3	1	2	-1856642957844480
0	3	1	1	-962836181408106720
0	3	1	0	-43644893688593514864
0	3	0	3	-79343716147200
0	3	0	2	68074304988611520
0	3	0	1	27140565643562193408
0	3	0	0	563351476523164027164
0	2	6	0	1190155742208
0	2	5	1	-2380311484416
0	2	5	0	425778216774912
0	2	4	2	793437161472
0	2	4	1	96402615118848
0	2	4	0	-304921471620916224
0	2	3	2	-382039993248768
0	2	3	1	105520695798839040
0	2	3	0	57937825576214108496
0	2	2	3	95212459376640
0	2	2	2	75551532823767168
0	2	2	1	-16136903034123583392
0	2	2	0	-5100819288684161822604
0	2	1	3	-16138511864340480
0	2	1	2	-6507718785232283520
0	2	1	1	840513608382187265472
0	2	1	0	217563602198413943834496
0	2	0	4	-476062296883200
0	2	0	3	658831538824727040
0	2	0	2	200151395705015851680
0	2	0	1	-14129781131343258928872
0	2	0	0	-3641534273000817486434106
0	1	7	0	342764853755904
0	1	6	1	-95212459376640
0	1	6	0	-190877177935319040
0	1	5	1	50129359861800960
0	1	5	0	45225455233320281088
0	1	4	3	4231664861184
0	1	4	2	-8397738917019648
0	1	4	1	-11420914215745041408
0	1	4	0	-5904805888582192138752
0	1	3	3	-580796002197504
0	1	3	2	3063353766426593280
0	1	3	1	1435248231354815291136
0	1	3	0	458329184051034270894912
0	1	2	4	380849837506560
0	1	2	3	4220292261869568
0	1	2	2	-415468037423463805440
0	1	2	1	-104172459041515757531904
0	1	2	0	-21120892432651593735450480
0	1	1	4	-69695520263700480
0	1	1	3	497292890090577408
0	1	1	2	24830371458852144448896
0	1	1	1	4106311674989402174517360
0	1	1	0	534113816349242736470603808
0	1	0	5	-1523399350026240
0	1	0	4	3170360669208514560
0	1	0	3	65463280325873821440
0	1	0	2	-551675861012948475891744
0	1	0	1	-68150113198836253206801264
0	1	0	0	-5704844879820849614063005968
0	0	9	0	25389989167104
0	0	8	0	-17652389968429056
0	0	7	1	2056589122535424
0	0	7	0	5375409819026964480
0	0	6	2	-152339935002624
0	0	6	1	-1304905798248726528
0	0	6	0	-937499043586226595840
0	0	5	3	50779978334208
0	0	5	2	77636239375712256
0	0	5	1	354647482941059923968
0	0	5	0	102637006798921420267008
0	0	4	4	8463329722368
0	0	4	3	-28335227910488064
0	0	4	2	-16890123779282644992
0	0	4	1	-53524192220798229909504
0	0	4	0	-7252578452459641074165504
0	0	3	4	1751909252530176
0	0	3	3	6472514424686174208
0	0	3	2	2016214807565909348352
0	0	3	1	4845130787122770399105024
0	0	3	0	326002133883745956974742288
0	0	2	5	609359740010496
0	0	2	4	-891959840686301184
0	0	2	3	-737421585674425178112
0	0	2	2	-139481154975781116456192
0	0	2	1	-263089081350164756265325056
0	0	2	0	-8740289329765019833650640452
0	0	1	5	-119739188912062464
0	0	1	4	91150215036712685568
0	0	1	3	41361435973865103667200
0	0	1	2	5292291074542303988961216
0	0	1	1	7935130207925107203243192048
0	0	1	0	118691852604018918232817005848
0	0	0	6	-2031199133368320
0	0	0	5	6053570082183020544
0	0	0	4	-2801349686661373138176
0	0	0	3	-908503467768855134057088
0	0	0	2	-85641851887507764123914304
0	0	0	1	-102561747912566944681889719656
0	0	0	0	-488675407976212612845301958601
