A	B	Y	T	coefficient
2	3	1	0	-1000191802464
2	3	0	3	-5775360
2	3	0	2	-1445605056
2	3	0	1	894778052544
2	3	0	0	35941251612348
2	2	5	0	3483648
2	2	4	1	-5101056
2	2	4	0	-3156978240
2	2	3	2	663552
2	2	3	1	2243842560
2	2	3	0	1179584449056
2	2	2	2	715485312
2	2	2	1	-338443463808
2	2	2	0	-183682740071268
2	2	1	3	-35168256
2	2	1	2	-203132479104
2	2	1	1	16772958204480
2	2	1	0	12473419418519076
2	2	0	4	-34652160
2	2	0	3	1950469632
2	2	0	2	12070627148736
2	2	0	1	-81618792393384
2	2	0	0	-308178584125791552
2	1	6	0	-782327808
2	1	5	1	-42799104
2	1	5	0	575010938880
2	1	4	2	-25878528
2	1	4	1	-28125729792
2	1	4	0	-152633825812224
2	1	3	3	3538944
2	1	3	2	28637577216
2	1	3	1	14996607660288
2	1	3	0	19945689249975552
2	1	2	3	1755592704
2	1	2	2	-7810258070016
2	1	2	1	-2421314354188800
2	1	2	0	-1388747514536562384
2	1	1	4	-514916352
2	1	1	3	-683634691584
2	1	1	2	762061292978688
2	1	1	1	166726576822025520
2	1	1	0	49456632864969640440
2	1	0	5	-110886912
2	1	0	4	71174909952
2	1	0	3	49124841057792
2	1	0	2	-24352570866429216
2	1	0	1	-4226339392381464192
2	1	0	0	-707964465718515174912
2	0	8	0	23887872
2	0	7	0	5607677952
2	0	6	1	-8695185408
2	0	6	0	-6043652517888
2	0	5	2	79626240
2	0	5	1	6529361633280
2	0	5	0	1395838967910912
2	0	4	3	-29196288
2	0	4	2	-103016448000
2	0	4	1	-1885439812921344
2	0	4	0	-146423524487520384
2	0	3	4	7077888
2	0	3	3	59878268928
2	0	3	2	31094966154240
2	0	3	1	276579617675696640
2	0	3	0	6989180694845361408
2	0	2	4	-4004536320
2	0	2	3	-16635879843840
2	0	2	2	-4039590394916352
2	0	2	1	-22086158502796977024
2	0	2	0	-49528968834481070256
2	0	1	5	-1422655488
2	0	1	4	610774069248
2	0	1	3	1617624820012032
2	0	1	2	244962871494229440
2	0	1	1	918663282459873466848
2	0	1	0	-7734356394525890445564
2	0	0	6	-147849216
2	0	0	5	230175571968
2	0	0	4	-15292161289728
2	0	0	3	-52043433268604544
2	0	0	2	-5697422024142862656
2	0	0	1	-15638845471991550279504
2	0	0	0	207523812848755503547935
1	6	0	0	5832
1	5	2	0	-2160
1	5	1	0	31104
1	5	0	1	279936
1	5	0	0	17093592
1	4	3	0	251424
1	4	2	1	-86400
1	4	2	0	-96502104
1	4	1	1	8802432
1	4	1	0	11100687120
1	4	0	2	5598720
1	4	0	1	175449888
1	4	0	0	-407506242546
1	3	4	0	-5256576
1	3	3	1	5401728
1	3	3	0	2009870496
1	3	2	2	-1382400
1	3	2	1	-2456531712
1	3	2	0	-268482733488
1	3	1	2	261771264
1	3	1	1	302654206080
1	3	1	0	14780998293696
1	3	0	3	59719680
