A	B	Y	Z	u	coefficient
1	4	1	0	1	1386066152448
1	4	1	0	0	19106162758656
1	4	0	1	0	947580560640
1	4	0	0	4	55099802880
1	4	0	0	3	563242429440
1	4	0	0	2	-21839112981504
1	4	0	0	1	-262362609173376
1	4	0	0	0	-2261772523490112
1	3	2	0	2	-8492716283904
1	3	2	0	1	-225674099315712
1	3	2	0	0	-376452873236736
1	3	1	1	1	-17677241203968
1	3	1	1	0	-286495098394752
1	3	1	0	4	330598817280
1	3	1	0	3	60242451148800
1	3	1	0	2	3999048186705408
1	3	1	0	1	57005813424564864
1	3	1	0	0	85057395814797120
1	3	0	2	0	-6121520075520
1	3	0	1	4	55099802880
1	3	0	1	3	477531624960
1	3	0	1	2	61312611764736
1	3	0	1	1	4160978548509312
1	3	0	1	0	34783318157391936
1	3	0	0	4	-86038342197120
1	3	0	0	3	-10653675453054720
1	3	0	0	2	-364973909262824448
1	3	0	0	1	-3554966762212039488
1	3	0	0	0	-4804311879412061472
1	2	4	0	0	5803845903360
1	2	3	0	3	2203992115200
1	2	3	0	2	90363676723200
1	2	3	0	1	-276755289905664
1	2	3	0	0	-5422540574149632
1	2	2	1	2	8375170037760
1	2	2	1	1	350104147499520
1	2	2	1	0	364948034395392
1	2	2	0	4	-9917964518400
1	2	2	0	3	-1625003386536960
1	2	2	0	2	-31944838037078016
1	2	2	0	1	125026929655126272
1	2	2	0	0	1367372296004314752
1	2	1	2	1	12481942012416
1	2	1	2	0	303522774144768
1	2	1	1	4	165299408640
1	2	1	1	3	-20974658296320
1	2	1	1	2	-4620515190068736
1	2	1	1	1	-95574128972764032
1	2	1	1	0	-90278729357099904
1	2	1	0	4	4176206909585280
1	2	1	0	3	309836825856195840
1	2	1	0	2	3755837355580832256
1	2	1	0	1	-17157007303099633728
1	2	1	0	0	-134060739545006759808
1	2	0	3	0	4042012700160
1	2	0	2	4	13774950720
1	2	0	2	2	-37893971100672
1	2	0	2	1	-3203490601152576
1	2	0	2	0	-41861989833385536
1	2	0	1	4	-43019171098560
1	2	0	1	3	5676032727279360
1	2	0	1	2	481860449140262400
1	2	0	1	1	6530336356187736576
1	2	0	1	0	5792387850679611456
1	2	0	0	4	-396041524689423600
1	2	0	0	3	-17660362772156284800
1	2	0	0	2	-148229666837112318336
1	2	0	0	1	737520722430611363856
1	2	0	0	0	4572108304438800495600
1	1	5	0	1	-2909269592064
1	1	5	0	0	5025102022656
1	1	4	1	0	-6318110730240
1	1	4	0	2	77492362770432
1	1	4	0	1	2945238743384064
1	1	4	0	0	-5489879879909376
1	1	3	1	3	-220399211520
1	1	3	1	2	-35528352897024
1	1	3	1	1	-100546120295424
1	1	3	1	0	6283390507785216
1	1	3	0	3	-305142708349440
1	1	3	0	2	-52486000470899712
1	1	3	0	1	-934369288386151680
1	1	3	0	0	1850060206434327552
1	1	2	2	2	-1983592903680
1	1	2	2	1	-120315929568768
1	1	2	2	0	-374678659584000
1	1	2	1	3	239133144499200
1	1	2	1	2	17688821958093312
1	1	2	1	1	6911113175435520
1	1	2	1	0	-1676792242261900800
1	1	2	0	3	148440521952806400
1	1	2	0	2	11985174789138178560
1	1	2	0	1	133332594674681048832
1	1	2	0	0	-275478074673142045824
1	1	1	3	1	-3031713598464
1	1	1	3	0	-98971490373120
1	1	1	2	3	5528346888960
1	1	1	2	2	1036746871029504
1	1	1	2	1	37648422502457472
1	1	1	2	0	101965265308420992
1	1	1	1	3	-64702265927109120
1	1	1	1	2	-2785455309890617344
1	1	1	1	1	2185629874471067904
1	1	1	1	0	173622987894806452224
1	1	1	0	3	-22356221556657689280
