A	B	Y	Z	coefficient
14	2	2	0	15726509669674625281097910940198913619924178173030832316617463326310400000000000000000000000
14	2	1	2	-5477772236877224265389469675247629147109801687186554224640000000000000000000000000000
14	2	1	1	-1165077591018857561586821477936541064150882250538006753168970481664000000000000000000000000
14	2	1	0	-4776104333210310711641458508456846598800018922382124124175197096659386368000000000000000000000
14	2	0	3	-1930585076086157828866882394226940795417964496385002700800000000000000000000000000000
14	2	0	2	-117893842169773572636059249327468429628114240625084215356030976000000000000000000000000000
14	2	0	1	483665299768573486530495531816996582529602434238094129399550273768128512000000000000000000000
14	2	0	0	413700976250313695761107462077865183694139528160535464257717943281518179778560000000000000000000
14	1	5	0	-5898693142576178844624251042853019382504807096028349071360000000000000000000000000000
14	1	4	0	14455366620291227334609574299806072526481117801623699106069217280000000000000000000000000
14	1	3	1	4382802655764548548000242289072159730845933620495123153420288000000000000000000000000000
14	1	3	0	-13215464592377510517040735123965479212683153608864479640150533094768640000000000000000000000
14	1	2	2	-466974183803269286460599990143455386898133721336384770277376000000000000000000000000000
14	1	2	1	-3330134301240692204112045396077303887744118574529658978336000861798400000000000000000000000
14	1	2	0	5485494874491778983435069383800162968430786544901498374386365948318921523200000000000000000000
14	1	1	3	-25938185641123264315528386223510395427597858738990775009280000000000000000000000000000
14	1	1	2	537132426968018706573391325384651096994144163053727416716126846976000000000000000000000000
14	1	1	1	523532140758456316224838347109420389409315344171251764930636013899874304000000000000000000000
14	1	1	0	-1004587584911521225182806677281198054430653866436137971850551007780774388695040000000000000000000
14	1	0	3	25632706493836903174306155472127621318201281060795669425841766400000000000000000000000000
14	1	0	2	-118416753372605480101132479085323907302208515233053803666952503164928000000000000000000000000
14	1	0	1	17957287941634358734637741281931802152296497538864996541777954383822061568000000000000000000000
14	1	0	0	62061331484775128421354568991135353939127404269695450337769701874317338964551270400000000000000000
14	0	6	0	4452346914396483014925423386017872257077074734629307547648000000000000000000000000000
14	0	5	0	-11998555892826506735712099635253783088422915522679805907793084416000000000000000000000000
14	0	4	1	-6474013727875388818303075153117194796955995885080451946832199680000000000000000000000000
14	0	4	0	13329417329963154988756150136839820255017450668327112926327565140885504000000000000000000000
14	0	3	2	1900059898803244552114865502681924595354470469402475092141670400000000000000000000000000
14	0	3	1	6837674331421955915230984291060702108690096847413266918876799775539200000000000000000000000
14	0	3	0	-6947563314722953828654660959013406945215544164995824489806742091801506611200000000000000000000
14	0	2	3	-85064478945776543437559495091849264408567351548739355410432000000000000000000000000000
14	0	2	2	-2697625272234631422107332252447197245870291153086698016202095696281600000000000000000000000
14	0	2	1	-1876386547662098555299274981058426411141940389965153285769448771676641689600000000000000000000
14	0	2	0	1729864106304588160324432948667300322664713960943188862931007327575495902494720000000000000000000
14	0	1	3	171035449965770986760946864737442408319023203052953879259276902400000000000000000000000000
14	0	1	2	907369320918407266236070533424204848725951762733108201484394595065266176000000000000000000000
14	0	1	1	106090803431562448131648942679008926128558045735187814556545116225551560867840000000000000000000
14	0	1	0	-196183842620169918728662137502081984315638358588570962051046272906905813788498329600000000000000000
14	0	0	4	6561836697407809980390907071337958625674457856059990299639808000000000000000000000000000
14	0	0	3	-74644429145189257450663083957332166093560674959661533937585681606901760000000000000000000000
14	0	0	2	-60765245546251021965310741370274453619372960261194059440576342938989101056000000000000000000000
14	0	0	1	4038580480803227142656523558420489798801813974792388640913097923199980488831795200000000000000000
14	0	0	0	8152825741129861958470110882442492850333068492377628309703872219858589756144750690304000000000000000
13	5	0	0	4210639452498591655959880650787909927317500155314611209371648000000000000000000000000000
13	4	2	0	2322838667735265798958905312724014534062585155038058905600000000000000000000000000000
13	4	1	0	114892582275359713063001761158532862399584531691602715589004492800000000000000000000000000
13	4	0	1	4163884401869108892991295329775507167502824604716474986135552000000000000000000000000000
13	4	0	0	-46898407955632719497054943916077208247559795766902079297871877557452800000000000000000000000
13	3	3	0	390809801577323742882123848447989790726995744376882536120320000000000000000000000000000
13	3	2	1	17261987726637513882992892626214218350205673194074511769600000000000000000000000000000
13	3	2	0	-634343710862076244467667356349899894986134087725248924654166343680000000000000000000000000
