A	B	Y	Z	u	coefficient
14	1	0	0	2	8780391741690631042153399192434480
14	1	0	0	1	26736827282552693612618260367769360
14	0	5	0	2	1388768704245648000000000
14	0	5	0	1	-32842963342577084400000000
14	0	4	1	1	6925573062196668000000000
14	0	4	0	4	-2366273493461287872000000
14	0	4	0	3	-203744646395491035780000000
14	0	4	0	2	6983381041718520597566400000
14	0	4	0	1	42549476803106908648280400000
14	0	3	1	4	155119289633225280000000
14	0	3	1	3	5044321384866450144000000
14	0	3	1	2	-3544945626277464708240000000
14	0	3	1	1	2027388282227751515184000000
14	0	3	0	4	1361938698093122085391200000
14	0	3	0	3	89930938312766381575584960000
14	0	3	0	2	-6452511808989136497757760160000
14	0	3	0	1	-20289750094950077831837921280000
14	0	2	2	3	1331233513277523120000000
14	0	2	2	2	307276210026121040640000000
14	0	2	2	1	-4795103934495001103940000000
14	0	2	1	4	490819917589330488811200000
14	0	2	1	3	35503301203237044625680720000
14	0	2	1	2	2557032635309208570895386240000
14	0	2	1	1	-2292722282249092385973811080000
14	0	2	0	4	-245518265617404811644191112000
14	0	2	0	3	-5858656621519175458690821246000
14	0	2	0	2	1931114181036718341794269003197600
14	0	2	0	1	4480253534397369039934263888720600
14	0	1	3	1	496053157664002761000000000
14	0	1	2	4	-93304856776669322760000000
14	0	1	2	3	-5978610424633152681583200000
14	0	1	2	2	-163516354501864299548486400000
14	0	1	2	1	2377863041815039727603593800000
14	0	1	1	4	-250495475396827443872793552000
14	0	1	1	3	-15544840517018639408439471132000
14	0	1	1	2	-568439158072387559467137558624000
14	0	1	1	1	308908355116327917856157135538000
14	0	1	0	4	17452610013579337435913077091040
14	0	1	0	3	-1460674864589728219078453513044480
14	0	1	0	2	-237306479383953410011766060809340160
14	0	1	0	1	-456626507524267933935703678215778560
14	0	0	3	3	-177791011004454479568000000
14	0	0	3	2	-11969215901380875170016000000
14	0	0	3	1	-245732279298260690369286000000
14	0	0	2	4	38279152974820259778436800000
14	0	0	2	3	1876385812345281991971010620000
14	0	0	2	2	29048300361258115331800413720000
14	0	0	2	1	-204421605985862840942411368950000
14	0	0	1	4	22124360550824108803234737072000
14	0	0	1	3	1414793380091541094255106387206080
14	0	0	1	2	38105880969691578318237335994076800
14	0	0	1	1	-9555850361627660950930856245686480
14	0	0	0	4	-285263326955923542346232744466048
14	0	0	0	3	151573057986334438964724569340986304
14	0	0	0	2	10328963666511667071355451177817824640
14	0	0	0	1	17298461574098835623633328870599613936
13	4	1	0	1	3854966682315947343750000
13	4	0	0	4	-46094715376536656250000
13	4	0	0	3	-6798130436873936228906250
13	4	0	0	2	-325268258161204551782812500
13	4	0	0	1	8693575562953834704323437500
13	3	2	0	2	226081306748174625000000
13	3	2	0	1	209866443833249204203125000
13	3	1	1	1	4796512331792518125000000
13	3	1	0	4	-224195481198507150000000
13	3	1	0	3	-348565824501976469633625000
13	3	1	0	2	-22986362363433748079385375000
13	3	1	0	1	-181784061213397950591046125000
13	3	0	1	4	-36617751660552468750000
13	3	0	1	3	-7079195307187437721875000
13	3	0	1	2	-384912755338729340025000000
13	3	0	1	1	-34030884663885357818746875000
13	3	0	0	5	-700395186161448054000000
13	3	0	0	4	1897955827387366895448975000
13	3	0	0	3	208686803178587686857598837500
13	3	0	0	2	6966231200471036788797191850000
13	3	0	0	1	36852961213767895225086890896875
13	2	3	0	3	-448038402218848125000000
13	2	3	0	2	-80941365498850031475000000
13	2	3	0	1	1168130031393539124112500000
13	2	2	1	2	-4131011050348637250000000
13	2	2	1	1	-281590318807975142437500000
13	2	2	0	5	-1689509543656275000000
13	2	2	0	4	43386313260364699135500000
13	2	2	0	3	2859769608564985491087225000
13	2	2	0	2	-2098666720082410673347350000
